fold,period_idx,date,split,id,weight,p_hat,c_exec,implied,next_implied,edge
24,24,2025-05-27 00:00:00+00:00,train,540844,0.0,0.493931028136333,0.494,0.494,0.494,-6.897186366700003e-05
25,25,2025-05-28 00:00:00+00:00,train,540819,0.0,0.48533304326340787,0.485,0.485,0.485,0.00033304326340788393
25,25,2025-05-28 00:00:00+00:00,train,540843,0.0,0.5097351514088121,0.51,0.51,0.51,-0.00026484859118791615
25,25,2025-05-28 00:00:00+00:00,train,540844,0.0,0.49393162509506916,0.494,0.494,0.494,-6.837490493083465e-05
26,26,2025-05-29 00:00:00+00:00,train,540819,0.0,0.4853217798825683,0.485,0.485,0.485,0.00032177988256831824
26,26,2025-05-29 00:00:00+00:00,train,540843,0.0,0.5097457775086307,0.51,0.51,0.51,-0.00025422249136930475
26,26,2025-05-29 00:00:00+00:00,train,540844,0.0,0.4939322679548875,0.494,0.494,0.494,-6.773204511251185e-05
27,27,2025-05-30 00:00:00+00:00,train,540819,0.0,0.4853112797065353,0.485,0.485,0.485,0.0003112797065353279
27,27,2025-05-30 00:00:00+00:00,train,540843,0.0,0.5097556049140165,0.51,0.51,0.51,-0.00024439508598350645
27,27,2025-05-30 00:00:00+00:00,train,540844,0.0,0.493932945950209,0.494,0.494,0.494,-6.705404979101548e-05
28,28,2025-05-31 00:00:00+00:00,train,540819,0.0,0.4853014659508229,0.485,0.485,0.485,0.00030146595082292116
28,28,2025-05-31 00:00:00+00:00,train,540843,0.0,0.5097647192229168,0.51,0.51,0.51,-0.00023528077708323547
28,28,2025-05-31 00:00:00+00:00,train,540844,0.0,0.4939336503016341,0.494,0.494,0.494,-6.634969836588622e-05
29,29,2025-06-01 00:00:00+00:00,train,540819,0.0,0.48529227194441454,0.485,0.485,0.485,0.00029227194441455717
29,29,2025-06-01 00:00:00+00:00,train,540843,0.0,0.5097731943138082,0.51,0.51,0.51,-0.00022680568619182218
29,29,2025-06-01 00:00:00+00:00,train,540844,0.0,0.49393437383140826,0.494,0.494,0.494,-6.562616859173698e-05
30,30,2025-06-02 00:00:00+00:00,train,540819,0.0,0.48528363950291603,0.485,0.485,0.485,0.00028363950291604434
30,30,2025-06-02 00:00:00+00:00,train,540843,0.0,0.5097810942764689,0.51,0.51,0.51,-0.00021890572353111537
30,30,2025-06-02 00:00:00+00:00,train,540844,0.0,0.4939351106601858,0.494,0.494,0.494,-6.48893398141892e-05
31,31,2025-06-03 00:00:00+00:00,train,540819,0.0,0.4852755176076847,0.485,0.485,0.485,0.00027551760768473876
31,31,2025-06-03 00:00:00+00:00,train,540843,0.0,0.5097884749741732,0.51,0.51,0.51,-0.00021152502582677535
31,31,2025-06-03 00:00:00+00:00,train,540844,0.0,0.4939358559662653,0.494,0.494,0.494,-6.414403373466993e-05
32,32,2025-06-04 00:00:00+00:00,train,540819,0.0,0.4852678613256057,0.485,0.485,0.485,0.0002678613256056894
32,32,2025-06-04 00:00:00+00:00,train,540843,0.0,0.5097953853167414,0.51,0.51,0.51,-0.0002046146832586082
32,32,2025-06-04 00:00:00+00:00,train,540844,0.0,0.49393660579322174,0.494,0.494,0.494,-6.339420677825558e-05
33,33,2025-06-05 00:00:00+00:00,train,540819,0.0,0.4852606309196927,0.485,0.485,0.485,0.0002606309196926948
33,33,2025-06-05 00:00:00+00:00,train,540843,0.0,0.5098018683049135,0.51,0.51,0.51,-0.00019813169508653417
33,33,2025-06-05 00:00:00+00:00,train,540844,0.0,0.4939373568953118,0.494,0.494,0.494,-6.264310468817591e-05
34,34,2025-06-06 00:00:00+00:00,train,540819,0.0,0.48525379111216355,0.485,0.485,0.485,0.00025379111216355943
34,34,2025-06-06 00:00:00+00:00,train,540843,0.0,0.5098079618924997,0.51,0.51,0.51,-0.00019203810750034744
34,34,2025-06-06 00:00:00+00:00,train,540844,0.0,0.4939381066125624,0.494,0.494,0.494,-6.189338743761708e-05
35,35,2025-06-07 00:00:00+00:00,train,540819,0.0,0.48524731047022623,0.485,0.485,0.485,0.0002473104702262474
35,35,2025-06-07 00:00:00+00:00,train,540843,0.0,0.5098136997022867,0.51,0.51,0.51,-0.00018630029771327106
35,35,2025-06-07 00:00:00+00:00,train,540844,0.0,0.4939388527693417,0.494,0.494,0.494,-6.11472306583094e-05
36,36,2025-06-08 00:00:00+00:00,train,540819,0.0,0.48524116089128605,0.485,0.485,0.485,0.000241160891286063
36,36,2025-06-08 00:00:00+00:00,train,540843,0.0,0.5098191116237983,0.51,0.51,0.51,-0.00018088837620167109
36,36,2025-06-08 00:00:00+00:00,train,540844,0.0,0.4939395935916123,0.494,0.494,0.494,-6.040640838766986e-05
37,37,2025-06-09 00:00:00+00:00,train,540819,0.0,0.4852353171692169,0.485,0.485,0.485,0.0002353171692169309
37,37,2025-06-09 00:00:00+00:00,train,540843,0.0,0.5098242243150023,0.51,0.51,0.51,-0.00017577568499771434
37,37,2025-06-09 00:00:00+00:00,train,540844,0.0,0.49394032763914086,0.494,0.494,0.494,-5.967236085913097e-05
38,38,2025-06-10 00:00:00+00:00,train,540819,0.0,0.4852297566271225,0.485,0.485,0.485,0.00022975662712249045
38,38,2025-06-10 00:00:00+00:00,train,540843,0.0,0.5098290616254708,0.51,0.51,0.51,-0.0001709383745291948
38,38,2025-06-10 00:00:00+00:00,train,540844,0.0,0.49394105374973457,0.494,0.494,0.494,-5.894625026542366e-05
39,39,2025-06-11 00:00:00+00:00,train,540819,0.0,0.48522445880494325,0.485,0.485,0.485,0.00022445880494326165
39,39,2025-06-11 00:00:00+00:00,train,540843,0.0,0.509833644954947,0.51,0.51,0.51,-0.0001663550450530238
39,39,2025-06-11 00:00:00+00:00,train,540844,0.0,0.4939417709932032,0.494,0.494,0.494,-5.822900679680609e-05
40,40,2025-06-12 00:00:00+00:00,train,540819,0.0,0.48521940519254303,0.485,0.485,0.485,0.00021940519254304292
40,40,2025-06-12 00:00:00+00:00,train,540843,0.0,0.5098379935585123,0.51,0.51,0.51,-0.00016200644148767207
40,40,2025-06-12 00:00:00+00:00,train,540844,0.0,0.4939424786332219,0.494,0.494,0.494,-5.7521366778112704e-05
41,41,2025-06-13 00:00:00+00:00,train,540819,0.0,0.48521457900069975,0.485,0.485,0.485,0.0002145790006997661
41,41,2025-06-13 00:00:00+00:00,train,540843,0.0,0.5098421248073901,0.51,0.51,0.51,-0.00015787519260990202
41,41,2025-06-13 00:00:00+00:00,train,540844,0.0,0.4939431760956361,0.494,0.494,0.494,-5.6823904363900724e-05
42,42,2025-06-14 00:00:00+00:00,train,540819,0.0,0.48520996496383884,0.485,0.485,0.485,0.000209964963838849
42,42,2025-06-14 00:00:00+00:00,train,540843,0.0,0.5098460544127148,0.51,0.51,0.51,-0.00015394558728520913
42,42,2025-06-14 00:00:00+00:00,train,540844,0.0,0.4939438629420457,0.494,0.494,0.494,-5.613705795431967e-05
43,43,2025-06-15 00:00:00+00:00,train,540819,0.0,0.4852055491694675,0.485,0.485,0.485,0.00020554916946752266
43,43,2025-06-15 00:00:00+00:00,train,540843,0.0,0.5098497966182483,0.51,0.51,0.51,-0.00015020338175175674
43,43,2025-06-15 00:00:00+00:00,train,540844,0.0,0.49394453884772904,0.494,0.494,0.494,-5.5461152270952496e-05
44,44,2025-06-16 00:00:00+00:00,train,540819,0.0,0.4852013189101692,0.485,0.485,0.485,0.00020131891016922365
