fold,id,delta_w,w
3,566227,0.0062989562755341455,0.0062989562755341455
3,566228,0.0,0.0
3,566229,0.0,0.0
3,566230,0.0,0.0
3,566511,0.0,0.0
3,566512,0.0,0.0
3,566513,0.0,0.0
3,566514,0.0,0.0
3,566515,0.0,0.0
3,566516,0.0,0.0
3,566520,0.0,0.0
3,566536,0.0,0.0
3,566538,0.0,0.0
3,566539,0.0,0.0
3,566543,0.0,0.0
3,566547,0.0,0.0
3,566731,0.0,0.0
3,566732,0.0,0.0
3,566733,0.0,0.0
3,566734,0.0,0.0
3,566735,0.0,0.0
3,566737,0.0,0.0
3,566738,0.0,0.0
3,566739,0.0,0.0
3,566760,0.0,0.0
3,567560,0.051266475196175845,0.051266475196175845
3,567561,0.0,0.0
3,567562,0.0,0.0
3,567563,0.0,0.0
3,567564,0.0,0.0
3,567565,0.0,0.0
3,567621,0.0,0.0
3,567687,0.017983318012025136,0.017983318012025136
3,567688,0.06527425334791676,0.06527425334791676
3,567689,0.0,0.0
3,567690,0.0,0.0
3,568116,0.0,0.0
3,568117,0.0,0.0
3,568629,0.0,0.0
3,568630,0.0,0.0
3,568631,0.0,0.0
3,568632,0.0,0.0
3,568633,0.0,0.0
3,568634,0.0,0.0
3,568635,0.0,0.0
3,568636,0.0,0.0
3,568637,0.0,0.0
3,568638,0.0,0.0
3,568639,0.0,0.0
3,568640,0.0,0.0
3,568641,0.0,0.0
3,568642,0.0,0.0
3,568643,0.0,0.0
3,568644,0.0,0.0
3,568645,0.0,0.0
3,568646,0.0,0.0
3,568647,0.0,0.0
3,568648,0.0,0.0
3,568649,0.0,0.0
3,568650,0.0,0.0
3,568651,0.0,0.0
3,568652,0.0,0.0
3,568653,0.0,0.0
3,568654,0.0,0.0
3,568655,0.0,0.0
3,568656,0.0,0.0
3,568657,0.0,0.0
3,568658,0.0,0.0
3,568659,0.0,0.0
3,568660,0.0,0.0
3,568661,0.0,0.0
3,568662,0.0,0.0
3,568663,0.0,0.0
3,568664,0.0,0.0
3,568665,0.0,0.0
3,568666,0.0,0.0
3,568667,0.0,0.0
3,568668,0.0,0.0
3,568669,0.0,0.0
3,568670,0.0,0.0
3,568671,0.0,0.0
3,568672,0.0,0.0
3,568673,0.0,0.0
3,568674,0.0,0.0
4,568675,0.0,0.0
4,568676,0.0,0.0
4,568677,0.0,0.0
4,568678,0.0,0.0
4,568679,0.0,0.0
4,568680,0.0,0.0
4,568681,0.0,0.0
4,568682,0.0,0.0
4,568683,0.0,0.0
4,568684,0.0,0.0
4,568685,0.0,0.0
4,568686,0.0,0.0
4,568687,0.0,0.0
4,569332,0.0,0.0
4,569333,0.0,0.0
4,569334,0.0,0.0
4,569335,0.0,0.0
4,569336,0.0,0.0
4,569338,0.0,0.0
4,569339,0.0,0.0
4,569340,0.0,0.0
4,569341,0.0,0.0
4,569342,0.0,0.0
4,569343,0.0,0.0
4,569344,0.0,0.0
4,569345,0.0,0.0
4,569346,0.0,0.0
4,569347,0.0,0.0
4,569348,0.0,0.0
4,569349,0.0,0.0
4,569356,0.0,0.0
4,569357,0.0,0.0
4,569358,0.0,0.0
4,569359,0.0,0.0
4,569360,0.0,0.0
4,569362,0.0,0.0
4,569363,0.0,0.0
4,569364,0.0,0.0
4,569365,0.0,0.0
4,569366,0.0,0.0
4,569367,0.0,0.0
4,569368,0.0749881711013521,0.0749881711013521
4,569369,0.0,0.0
4,569370,0.0,0.0
4,569371,0.0,0.0
4,569372,0.0,0.0
4,569373,0.08,0.08
4,569374,0.0,0.0
4,569454,0.0062645743322286215,0.0062645743322286215
4,572110,0.0,0.0
4,572111,0.0,0.0
4,572112,0.0,0.0
4,572114,0.0,0.0
4,572115,0.0,0.0
4,572116,0.0,0.0
4,572117,0.0,0.0
4,572118,0.0,0.0
4,572119,0.0,0.0
4,572121,0.013435112964621073,0.013435112964621073
4,572122,0.0,0.0
4,572123,0.0,0.0
4,572124,0.0,0.0
4,572125,0.0,0.0
4,572133,0.0,0.0
4,572732,0.0,0.0
4,572733,0.0,0.0
4,572734,0.0,0.0
4,572735,0.0,0.0
4,572736,0.0,0.0
4,572737,0.0,0.0
4,572739,0.0,0.0
4,572741,0.0,0.0
4,572742,0.0,0.0
4,572743,0.0,0.0
4,572744,0.0,0.0
4,572747,0.0,0.0
4,572748,0.0,0.0
4,572751,0.0,0.0
4,572765,0.07624605759252553,0.07624605759252553
4,572766,0.0,0.0
4,572767,0.0,0.0
4,572768,0.021261827222423414,0.021261827222423414
4,572769,0.0,0.0
4,572770,0.07624605759252553,0.07624605759252553
4,572772,0.07624605759252553,0.07624605759252553
4,572774,0.0,0.0
4,572775,0.0,0.0
4,572776,0.0,0.0
4,572777,0.0,0.0
4,572780,0.0,0.0
4,572781,0.0,0.0
4,572784,0.0,0.0
4,572822,0.0,0.0
4,572824,0.0,0.0
4,572829,0.0,0.0
4,572830,0.0,0.0
4,572833,0.08,0.08
4,572834,0.08,0.08
4,572841,0.0,0.0
4,572844,0.0,0.0
