q,ret
0,-0.01713088024940922
1,-0.008271303744772357
2,-0.0008710844972440159
3,7.69605500016686e-05
4,-0.0048651034425621085
5,-0.002463123082258984
6,0.004112735397454671
7,0.009492882520265481
8,0.02906383879603186
9,0.06853712418379825
