splitter,best_alpha,val_score,test_score,selection_gap
single_holdout,20.0,-0.08982297536759525,-0.09438144545519436,-0.004558470087599117
expanding,20.0,-0.11412394355199441,-0.09205742400515883,0.022066519546835583
rolling,20.0,-0.10903209410965906,-0.0873679093852587,0.021664184724400362
