fold,id,weight,p_hat,c_exec,implied,edge
1,558973,0.0,0.021208672055975906,0.005,0.0045,0.016208672055975905
1,558974,0.0,0.02314723566611865,0.011,0.0105,0.012147235666118649
1,558975,0.0,0.021599150019870506,0.006,0.0055,0.015599150019870505
1,558976,0.0,0.02353195085276482,0.012,0.0115,0.01153195085276482
1,558977,0.0,0.020663807939220503,0.003,0.0025,0.017663807939220504
1,558978,0.0,0.02007398373727197,0.003,0.0025,0.01707398373727197
1,558979,0.0,0.02265098800637333,0.003,0.0025,0.01965098800637333
1,558980,0.0,0.02463573455087907,0.007,0.0065,0.01763573455087907
1,558981,0.0,0.022431065038486252,0.003,0.0025,0.019431065038486253
1,558982,0.0,0.02231179504086685,0.003,0.0025,0.01931179504086685
1,558983,0.0,0.023903667446865267,0.005,0.0045,0.018903667446865266
1,558984,0.0,0.024775458796589045,0.004,0.0035,0.020775458796589045
1,558985,0.0,0.024614037731747643,0.008,0.0075,0.016614037731747643
1,559651,0.0,0.05145477459654898,0.079,0.078,-0.027545225403451022
1,559652,0.0,0.2286362265176397,0.246,0.2455,-0.01736377348236029
1,559653,0.0,0.056322334842922095,0.086,0.085,-0.029677665157077898
1,559654,0.0,0.03199341313628829,0.037,0.0365,-0.005006586863711707
1,559655,0.0,0.032260961326945566,0.036,0.0355,-0.0037390386730544317
1,559656,0.0,0.023722361293981985,0.013,0.0125,0.010722361293981986
1,559657,0.0,0.023117583634315507,0.011,0.0105,0.012117583634315508
1,559658,0.0,0.03362502323804876,0.041,0.0405,-0.0073749767619512435
1,559659,0.0,0.024392681991643288,0.013,0.0125,0.011392681991643288
1,559660,0.0,0.02615011828388132,0.019,0.0185,0.007150118283881322
1,559661,0.0,0.03943988219415588,0.054,0.053,-0.014560117805844118
1,559662,0.0,0.022871447352885176,0.011,0.0105,0.011871447352885176
1,559663,0.0,0.02649307121392346,0.022,0.0215,0.00449307121392346
1,559664,0.0,0.021699510473087744,0.008,0.007,0.013699510473087744
1,559665,0.0,0.022688492961529794,0.011,0.0105,0.011688492961529795
1,559666,0.0,0.021358732716348226,0.008,0.0075,0.013358732716348225
1,559667,0.0,0.02321357236943047,0.013,0.0125,0.010213572369430471
1,559668,0.0,0.025355139864952473,0.018,0.0175,0.007355139864952474
1,559669,0.0,0.022815801935833314,0.009,0.0085,0.013815801935833314
1,559670,0.0,0.02136998628989778,0.007,0.0065,0.01436998628989778
1,559671,0.0,0.021465797631407282,0.008,0.0075,0.013465797631407282
1,559672,0.0,0.02172462325501426,0.008,0.0075,0.013724623255014261
1,559673,0.0,0.022657781257794822,0.01,0.0095,0.012657781257794822
1,559674,0.0,0.02172569970112071,0.007,0.0065,0.014725699701120712
1,559675,0.0,0.02686152184819304,0.023,0.022,0.00386152184819304
1,559676,0.0,0.021679268370821812,0.008,0.0075,0.013679268370821812
1,559677,0.0,0.021330944301021292,0.008,0.0075,0.013330944301021292
1,559678,0.0,0.02171980500733975,0.009,0.0085,0.01271980500733975
1,559679,0.0,0.02076999559341801,0.006,0.0055,0.014769995593418008
1,559680,0.0,0.02118377851293776,0.007,0.0065,0.01418377851293776
1,559681,0.0,0.02130536787439369,0.008,0.0075,0.013305367874393691
1,559682,0.0,0.020995474349602694,0.006,0.0055,0.014995474349602694
1,559683,0.0,0.021365036842273113,0.008,0.0075,0.013365036842273113
1,559684,0.0,0.02145523472747264,0.009,0.0085,0.012455234727472642
1,559685,0.0,0.021401554176456884,0.008,0.0075,0.013401554176456883
1,559686,0.0,0.023579551938765844,0.011,0.0105,0.012579551938765844
1,559687,0.0,0.02199826742489827,0.011,0.0105,0.010998267424898272
1,559688,0.0,0.021225315184167256,0.008,0.0075,0.013225315184167256
1,559689,0.0,0.020979714694525302,0.006,0.0055,0.014979714694525302
1,559690,0.0,0.021194438167875265,0.007,0.0065,0.014194438167875266
1,559691,0.0,0.02279223651531526,0.009,0.0085,0.01379223651531526
1,559692,0.0,0.02153840641660939,0.007,0.0065,0.01453840641660939
1,559693,0.0,0.025469039439709375,0.014,0.0135,0.011469039439709375
1,559694,0.0,0.02565931072089608,0.016,0.0155,0.00965931072089608
1,559695,0.0,0.0291462725712159,0.027,0.0265,0.0021462725712158987
1,560317,0.0,0.07450294023518264,0.11,0.105,-0.03549705976481736
1,561229,0.0,0.13625389827300824,0.176,0.1755,-0.03974610172699175
1,561230,0.0,0.12175742913113491,0.163,0.162,-0.0412425708688651
1,561231,0.0,0.04247949444443957,0.062,0.0615,-0.01952050555556043
1,561232,0.0,0.026131526263492875,0.016,0.0155,0.010131526263492875
1,561233,0.0,0.027540114389685635,0.022,0.0215,0.005540114389685637
1,561234,0.0,0.06855541324546975,0.103,0.1025,-0.03444458675453024
1,561235,0.0,0.023491293848915507,0.009,0.0085,0.014491293848915508
1,561236,0.0,0.02346415600030644,0.01,0.0095,0.013464156000306439
1,561237,0.0,0.02442882977418491,0.016,0.0155,0.00842882977418491
1,561238,0.0,0.021711204177771438,0.007,0.0065,0.014711204177771438
1,561239,0.0,0.02998838188768403,0.03,0.0295,-1.1618112315970458e-05
1,561240,0.0,0.021366860686132975,0.007,0.0065,0.014366860686132975
1,561241,0.0,0.024907966086727816,0.016,0.0155,0.008907966086727816
1,561242,0.0,0.021399419983913016,0.007,0.0065,0.014399419983913017
1,561243,0.0,0.027918737541806397,0.024,0.0235,0.003918737541806397
1,561244,0.0,0.023079527525609322,0.009,0.0085,0.014079527525609323
1,561245,0.0,0.02189899235113764,0.008,0.0075,0.013898992351137639
1,561246,0.0,0.025534248947152748,0.016,0.0155,0.009534248947152747
1,561247,0.0,0.021059964096449647,0.007,0.0065,0.014059964096449648
